Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
374,David Raum,de GER,DF,Hoffenheim,23-332,1998,24.7,1188,1600,74.3,22298,8724,521,608,85.7,477,579,82.4,172,342,50.3,8,8.4,-0.4,66,69,57,46,111,Matches
375,Reinier,br BRA,MFFW,Dortmund,20-060,2002,0.8,41,50,82.0,613,109,28,29,96.6,10,13,76.9,3,4,75.0,0,0.0,0.0,0,0,0,0,2,Matches
376,Panagiotis Retsos,gr GRE,DFFW,Leverkusen,23-223,1998,0.4,10,12,83.3,159,80,4,5,80.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches
377,Marco Reus,de GER,MFFW,Dortmund,32-293,1989,21.0,785,970,80.9,12156,3132,461,522,88.3,234,291,80.4,66,96,68.8,8,4.7,+3.3,42,73,30,1,90,Matches
378,Elvis Rexhbeçaj,de GER,MF,Bochum,24-139,1997,22.5,460,713,64.5,8697,2954,193,246,78.5,195,263,74.1,58,161,36.0,0,1.0,-1.0,15,53,9,3,58,Matches
379,Gio Reyna,us USA,MF,Dortmund,19-127,2002,3.6,160,202,79.2,2390,588,90,103,87.4,51,59,86.4,11,22,50.0,1,1.0,0.0,11,6,5,2,8,Matches
380,Chris Richards,us USA,DF,Hoffenheim,21-357,2000,12.5,702,813,86.3,13921,4268,251,279,90.0,340,372,91.4,103,145,71.0,1,0.6,+0.4,2,37,3,0,38,Matches
381,Chris Richards,us USA,DF,Bayern Munich,21-357,2000,0.0,2,2,100.0,40,13,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
382,Omar Richards,eng ENG,DF,Bayern Munich,24-033,1998,4.1,258,294,87.8,4118,1420,136,149,91.3,109,117,93.2,13,22,59.1,0,0.2,-0.2,3,15,5,0,22,Matches
383,Marco Richter,de GER,FWMF,Hertha BSC,24-116,1997,16.5,310,469,66.1,5290,1869,159,198,80.3,99,148,66.9,38,82,46.3,0,1.1,-1.1,16,24,14,3,35,Matches
384,Manuel Riemann,de GER,GK,Bochum,33-192,1988,24.0,781,1302,60.0,33788,24646,49,49,100.0,175,181,96.7,557,1071,52.0,0,0.5,-0.5,5,74,7,0,6,Matches
385,Marc Roca,es ESP,MF,Bayern Munich,25-114,1996,4.0,241,281,85.8,4320,1234,109,123,88.6,93,99,93.9,30,45,66.7,0,0.4,-0.4,5,17,4,0,19,Matches
386,Cimo Röcker,de GER,DF,Hertha BSC,28-058,1994,0.2,11,17,64.7,233,73,2,2,100.0,7,9,77.8,2,6,33.3,0,0.3,-0.3,1,0,0,0,0,Matches
387,Sebastian Rode,de GER,MF,Eint Frankfurt,31-160,1990,5.8,242,298,81.2,4372,1412,106,127,83.5,104,126,82.5,27,37,73.0,0,0.7,-0.7,8,29,4,1,35,Matches
388,Romario Rösch,de GER,MF,Mainz 05,22-262,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
389,Jérôme Roussillon,fr FRA,DF,Wolfsburg,29-073,1993,16.2,566,753,75.2,10257,4229,242,302,80.1,250,303,82.5,63,111,56.8,0,1.3,-1.3,14,35,15,7,65,Matches
390,Sebastian Rudy,de GER,MF,Hoffenheim,32-020,1990,7.4,268,361,74.2,4791,1501,120,147,81.6,109,137,79.6,32,57,56.1,1,0.5,+0.5,7,22,3,2,36,Matches
391,Georginio Rutter,fr FRA,FWMF,Hoffenheim,19-334,2002,15.3,176,273,64.5,2818,686,91,126,72.2,52,74,70.3,20,35,57.1,2,3.0,-1.0,8,14,15,4,21,Matches
392,Julian Ryerson,no NOR,DF,Union Berlin,24-123,1997,11.8,352,476,73.9,6638,2478,157,191,82.2,140,177,79.1,50,83,60.2,0,1.5,-1.5,14,28,21,13,27,Matches
393,Frederik Rønnow,dk DEN,GK,Union Berlin,29-228,1992,2.0,46,81,56.8,1589,1128,4,4,100.0,21,22,95.5,21,54,38.9,0,0.0,0.0,0,1,0,0,0,Matches
394,Marcel Sabitzer,at AUT,MFFW,RB Leipzig,28-003,1994,0.5,42,49,85.7,885,237,20,22,90.9,14,15,93.3,8,12,66.7,0,0.0,0.0,0,7,1,0,4,Matches
395,Marcel Sabitzer,at AUT,MFDF,Bayern Munich,28-003,1994,8.3,512,629,81.4,8530,2268,269,303,88.8,194,230,84.3,41,63,65.1,0,1.0,-1.0,7,36,12,2,47,Matches
396,Roland Sallai,hu HUN,MFFW,Freiburg,24-302,1997,11.7,232,345,67.2,3972,1310,121,167,72.5,78,101,77.2,29,49,59.2,2,2.0,0.0,13,16,16,10,25,Matches
397,Diadie Samassékou,ml MLI,MF,Hoffenheim,26-068,1996,12.4,366,460,79.6,6813,1687,155,182,85.2,158,189,83.6,45,60,75.0,0,0.6,-0.6,6,27,2,0,27,Matches
398,Leroy Sané,de GER,FWMF,Bayern Munich,26-068,1996,19.0,722,871,82.9,11271,2585,403,463,87.0,233,278,83.8,58,78,74.4,7,5.4,+1.6,45,49,38,4,81,Matches
399,Mohamed Sankoh,nl NED,FW,Stuttgart,18-155,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
400,Baptiste Santamaria,fr FRA,MF,Freiburg,27-011,1995,0.2,2,4,50.0,29,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
401,Bouna Sarr,sn SEN,DF,Bayern Munich,30-048,1992,0.7,30,44,68.2,540,141,10,16,62.5,19,22,86.4,1,4,25.0,0,0.0,0.0,0,1,0,0,3,Matches
402,Joseph Scally,us USA,DF,M'Gladbach,19-079,2002,19.1,764,955,80.0,13831,4481,348,397,87.7,311,380,81.8,93,143,65.0,2,1.3,+0.7,14,41,13,6,66,Matches
403,Kevin Schade,de GER,FWMF,Freiburg,20-113,2001,9.2,109,194,56.2,1552,676,66,98,67.3,32,58,55.2,7,24,29.2,1,0.7,+0.3,7,10,5,2,10,Matches
404,András Schäfer,hu HUN,MF,Union Berlin,22-341,1999,0.7,24,33,72.7,501,82,8,13,61.5,12,12,100.0,4,6,66.7,0,0.0,0.0,0,2,0,0,3,Matches
405,Louis Schaub,at AUT,MF,Köln,27-081,1994,5.4,161,238,67.6,2736,859,80,110,72.7,63,81,77.8,14,29,48.3,2,1.3,+0.7,8,13,11,3,25,Matches
406,Patrik Schick,cz CZE,FW,Leverkusen,26-055,1996,17.2,222,312,71.2,3304,503,133,178,74.7,69,90,76.7,16,22,72.7,1,0.7,+0.3,9,8,6,0,15,Matches
407,Kingsley Schindler,de GER,DFMF,Köln,28-251,1993,3.5,90,164,54.9,1666,757,35,46,76.1,42,63,66.7,12,42,28.6,2,1.0,+1.0,4,11,6,4,18,Matches
408,Xaver Schlager,at AUT,MF,Wolfsburg,24-173,1997,4.5,140,175,80.0,2539,592,59,70,84.3,62,71,87.3,16,25,64.0,1,0.1,+0.9,1,18,3,1,17,Matches
409,Keven Schlotterbeck,de GER,DF,Freiburg,24-326,1997,3.1,86,104,82.7,2031,532,18,23,78.3,44,48,91.7,24,31,77.4,0,0.0,0.0,1,5,0,0,2,Matches
410,Nico Schlotterbeck,de GER,DF,Freiburg,22-109,1999,23.9,1054,1279,82.4,23307,8411,313,350,89.4,530,579,91.5,201,319,63.0,0,1.0,-1.0,10,103,10,1,105,Matches
411,Jonathan Schmid,fr FRA,DF,Freiburg,31-267,1990,4.6,162,209,77.5,3379,1489,55,66,83.3,69,87,79.3,31,45,68.9,0,0.3,-0.3,5,21,3,1,21,Matches
412,Benno Schmitz,de GER,DF,Köln,27-123,1994,23.7,1046,1464,71.4,20577,11255,379,443,85.6,510,672,75.9,149,302,49.3,4,3.5,+0.5,33,110,35,19,169,Matches
413,Alessandro Schöpf,at AUT,MF,Arminia,28-041,1994,22.3,684,882,77.6,11472,2954,336,416,80.8,251,301,83.4,71,114,62.3,0,2.1,-2.1,36,54,20,5,67,Matches
414,Nico Schulz,de GER,DF,Dortmund,28-353,1993,9.0,545,658,82.8,9197,3478,240,272,88.2,252,296,85.1,41,61,67.2,1,0.3,+0.7,3,30,8,1,49,Matches
415,Marvin Schwäbe,de GER,GK,Köln,26-329,1995,13.0,520,604,86.1,14157,7668,99,99,100.0,261,264,98.9,160,240,66.7,0,0.0,0.0,0,7,1,0,0,Matches
416,Alexander Schwolow,de GER,GK,Hertha BSC,29-291,1992,24.0,591,827,71.5,18677,10752,85,85,100.0,247,250,98.8,258,491,52.5,0,0.0,0.0,1,6,0,0,0,Matches
417,Paul Seguin,de GER,MF,Greuther Fürth,26-356,1995,22.8,823,1069,77.0,14407,4648,393,450,87.3,315,385,81.8,93,167,55.7,3,1.9,+1.1,21,90,18,6,114,Matches
418,Davie Selke,de GER,FW,Hertha BSC,27-059,1995,7.3,85,146,58.2,1219,196,52,82,63.4,26,45,57.8,6,9,66.7,0,0.4,-0.4,4,3,1,0,6,Matches
419,Suat Serdar,de GER,MFFW,Hertha BSC,24-343,1997,20.1,357,489,73.0,6724,1970,159,199,79.9,130,164,79.3,56,87,64.4,0,1.1,-1.1,16,32,17,1,51,Matches
420,Janni Serra,de GER,FW,Arminia,24-007,1998,7.7,123,181,68.0,1644,319,73,94,77.7,27,52,51.9,8,12,66.7,1,0.4,+0.6,9,11,3,0,14,Matches
421,Zidan Sertdemir,dk DEN,MFFW,Leverkusen,17-044,2005,0.2,5,7,71.4,115,45,2,2,100.0,2,2,100.0,1,3,33.3,0,0.0,0.0,1,0,1,0,1,Matches
422,Nils Seufert,de GER,MF,Greuther Fürth,25-045,1997,1.1,22,29,75.9,340,86,14,18,77.8,7,8,87.5,1,3,33.3,0,0.0,0.0,0,3,0,0,2,Matches
423,Kiliann Sildillia,fr FRA,DF,Freiburg,19-308,2002,1.5,47,72,65.3,864,373,17,18,94.4,20,30,66.7,7,14,50.0,0,0.2,-0.2,2,1,1,1,5,Matches
424,André Silva,pt POR,FW,RB Leipzig,26-134,1995,18.1,323,443,72.9,4197,966,211,273,77.3,85,114,74.6,8,17,47.1,2,2.0,0.0,13,15,19,3,29,Matches
425,Mohamed Simakan,fr FRA,DF,RB Leipzig,21-321,2000,17.3,925,1034,89.5,17846,5532,334,362,92.3,462,490,94.3,119,165,72.1,0,0.2,-0.2,4,59,6,2,48,Matches
426,Daley Sinkgraven,nl NED,DF,Leverkusen,26-259,1995,2.6,126,155,81.3,2230,736,60,67,89.6,45,55,81.8,17,27,63.0,0,0.6,-0.6,3,12,4,1,17,Matches
427,Ellyes Skhiri,tn TUN,MF,Köln,26-314,1995,13.2,522,608,85.9,10465,2677,199,233,85.4,229,252,90.9,88,102,86.3,1,0.2,+0.8,7,41,8,1,40,Matches
428,Robert Skov,dk DEN,DFFW,Hoffenheim,25-304,1996,2.7,94,127,74.0,1956,625,31,36,86.1,48,56,85.7,14,32,43.8,0,0.2,-0.2,4,3,5,0,11,Matches
429,Danilo Soares,br BRA,DF,Bochum,30-142,1991,23.2,1002,1346,74.4,19842,7557,375,438,85.6,459,580,79.1,155,275,56.4,0,0.9,-0.9,13,79,14,5,89,Matches
430,Yann Sommer,ch SUI,GK,M'Gladbach,33-093,1988,26.0,876,1151,76.1,24912,14143,167,169,98.8,382,384,99.5,323,592,54.6,1,0.3,+0.7,1,12,1,0,1,Matches
431,Borna Sosa,hr CRO,DF,Stuttgart,24-058,1998,21.8,1067,1448,73.7,19305,7869,504,578,87.2,421,545,77.2,131,272,48.2,7,4.8,+2.2,49,69,43,23,127,Matches
432,Djibril Sow,ch SUI,MF,Eint Frankfurt,25-042,1997,23.9,897,1055,85.0,17431,4384,345,395,87.3,411,457,89.9,126,167,75.4,3,2.0,+1.0,20,90,18,2,97,Matches
433,Jerry St. Juste,nl NED,DF,Mainz 05,25-152,1996,6.7,224,289,77.5,4775,1750,64,81,79.0,108,122,88.5,46,74,62.2,0,0.1,-0.1,2,18,6,1,19,Matches
434,Anton Stach,de GER,MF,Mainz 05,23-125,1998,14.1,490,660,74.2,8942,2763,237,293,80.9,181,231,78.4,65,110,59.1,3,0.8,+2.2,9,48,10,2,63,Matches
435,Kostas Stafylidis,gr GRE,DF,Bochum,28-108,1993,11.9,434,593,73.2,9686,3846,137,159,86.2,195,247,78.9,99,173,57.2,1,0.8,+0.2,9,30,11,6,46,Matches
436,Josip Stanišić,hr CRO,DF,Bayern Munich,21-352,2000,5.5,378,446,84.8,6376,1688,178,194,91.8,155,174,89.1,37,60,61.7,0,0.1,-0.1,2,15,4,1,26,Matches
437,Niklas Stark,de GER,DF,Hertha BSC,26-340,1995,21.2,820,977,83.9,18109,6796,231,267,86.5,419,461,90.9,167,235,71.1,0,0.2,-0.2,2,30,3,0,51,Matches
438,Renato Steffen,ch SUI,FWMF,Wolfsburg,30-137,1991,9.7,285,368,77.4,4964,1475,142,164,86.6,103,135,76.3,34,53,64.2,1,1.0,0.0,9,17,8,2,31,Matches
439,Pascal Stenzel,de GER,DF,Stuttgart,26-000,1996,6.7,370,460,80.4,8725,2938,105,116,90.5,166,192,86.5,95,139,68.3,0,0.1,-0.1,5,35,7,2,33,Matches
440,Angelo Stiller,de GER,MF,Hoffenheim,20-350,2001,13.1,550,654,84.1,9426,2477,255,291,87.6,239,262,91.2,47,75,62.7,1,0.7,+0.3,6,45,9,0,59,Matches
441,Lars Stindl,de GER,MFFW,M'Gladbach,33-206,1988,14.3,511,624,81.9,8224,1818,279,316,88.3,166,198,83.8,49,72,68.1,4,3.1,+0.9,23,44,22,3,49,Matches
442,Kevin Stöger,at AUT,MFFW,Mainz 05,28-205,1993,3.9,208,287,72.5,3631,1304,110,131,84.0,68,92,73.9,26,53,49.1,1,1.4,-0.4,13,23,10,4,36,Matches
443,Tobias Strobl,de GER,MFDF,Augsburg,31-312,1990,3.6,68,94,72.3,1350,454,22,28,78.6,33,37,89.2,11,22,50.0,0,0.0,0.0,1,7,1,0,10,Matches
444,Niklas Süle,de GER,DF,Bayern Munich,26-198,1995,19.2,1473,1623,90.8,30784,10681,463,490,94.5,746,798,93.5,244,296,82.4,2,1.0,+1.0,8,111,9,1,117,Matches
445,Ádám Szalai,hu HUN,FW,Mainz 05,34-101,1987,2.9,50,79,63.3,602,128,28,38,73.7,11,22,50.0,1,6,16.7,0,0.5,-0.5,4,2,0,0,5,Matches
446,Dominik Szoboszlai,hu HUN,MFFW,RB Leipzig,21-146,2000,14.3,650,835,77.8,11009,3121,332,389,85.3,211,264,79.9,80,133,60.2,6,4.6,+1.4,36,37,29,10,57,Matches
447,Jonathan Tah,de GER,DF,Leverkusen,26-037,1996,24.8,1292,1452,89.0,28033,8271,317,348,91.1,738,794,92.9,226,288,78.5,2,0.8,+1.2,7,64,2,1,81,Matches
448,Edmond Tapsoba,bf BFA,DF,Leverkusen,23-046,1999,12.2,724,823,88.0,16338,4853,162,179,90.5,399,422,94.5,156,208,75.0,0,0.0,0.0,1,42,0,0,31,Matches
449,Niklas Tauer,de GER,DFMF,Mainz 05,21-031,2001,3.9,93,125,74.4,1548,528,50,61,82.0,30,40,75.0,11,17,64.7,0,0.0,0.0,0,5,1,0,8,Matches
450,Robert Tesche,de GER,MF,Bochum,34-297,1987,3.2,113,133,85.0,2341,488,46,53,86.8,45,48,93.8,22,29,75.9,0,0.0,0.0,0,12,1,0,13,Matches
451,Cedric Teuchert,de GER,MFFW,Union Berlin,25-065,1997,1.2,20,30,66.7,365,76,6,7,85.7,12,14,85.7,1,4,25.0,0,0.1,-0.1,2,3,0,0,1,Matches
452,Jan Thielmann,de GER,MFFW,Köln,19-298,2002,10.5,200,331,60.4,3904,1171,75,114,65.8,82,121,67.8,37,63,58.7,2,1.7,+0.3,14,10,18,10,27,Matches
453,Erik Thommy,de GER,FWDF,Stuttgart,27-212,1994,1.0,26,32,81.3,429,87,12,16,75.0,10,10,100.0,2,3,66.7,0,0.2,-0.2,4,1,0,0,1,Matches
454,Marcus Thuram,fr FRA,FWMF,M'Gladbach,24-226,1997,8.7,154,211,73.0,2442,696,72,95,75.8,66,84,78.6,10,13,76.9,0,1.3,-1.3,11,8,13,2,23,Matches
455,Alexis Tibidi,fr FRA,FWMF,Stuttgart,18-137,2003,3.5,74,91,81.3,1073,212,48,53,90.6,20,26,76.9,4,7,57.1,0,0.3,-0.3,4,1,2,0,3,Matches
456,Steffen Tigges,de GER,FWMF,Dortmund,23-232,1998,1.2,24,43,55.8,384,106,13,26,50.0,7,11,63.6,2,3,66.7,0,0.2,-0.2,1,2,0,0,2,Matches
457,Malik Tillman,de GER,FWMF,Bayern Munich,19-296,2002,1.2,31,40,77.5,464,154,19,22,86.4,10,14,71.4,1,2,50.0,0,0.4,-0.4,3,0,2,0,6,Matches
458,Timothy Tillman,de GER,MF,Greuther Fürth,23-075,1999,15.7,323,482,67.0,5949,2021,135,164,82.3,139,174,79.9,40,101,39.6,2,1.9,+0.1,18,27,17,2,45,Matches
459,Corentin Tolisso,fr FRA,MF,Bayern Munich,27-229,1994,7.3,460,530,86.8,8838,2714,200,221,90.5,188,209,90.0,65,82,79.3,1,1.8,-0.8,15,74,6,0,74,Matches
460,Tiago Tomás,pt POR,FWMF,Stuttgart,19-277,2002,5.7,70,107,65.4,906,188,45,64,70.3,18,26,69.2,3,7,42.9,0,0.0,0.0,1,4,1,0,5,Matches
461,Jordan Torunarigha,de GER,DF,Hertha BSC,24-225,1997,5.4,194,236,82.2,4443,1458,40,44,90.9,115,130,88.5,34,50,68.0,1,0.0,+1.0,2,7,0,0,12,Matches
462,Almamy Touré,ml MLI,DF,Eint Frankfurt,25-326,1996,4.5,124,176,70.5,1964,1028,61,75,81.3,56,75,74.7,5,13,38.5,0,0.0,0.0,0,7,0,0,16,Matches
463,Lucas Tousart,fr FRA,MF,Hertha BSC,24-325,1997,14.8,417,544,76.7,8397,2707,156,186,83.9,181,217,83.4,67,105,63.8,0,0.5,-0.5,9,59,11,2,60,Matches
464,Kevin Trapp,de GER,GK,Eint Frankfurt,31-255,1990,25.0,644,1009,63.8,19291,12638,151,151,100.0,245,250,98.0,243,603,40.3,0,0.0,0.0,0,9,0,0,0,Matches
465,Christopher Trimmel,at AUT,DF,Union Berlin,35-024,1987,16.2,582,841,69.2,11263,4755,244,286,85.3,239,297,80.5,90,219,41.1,0,1.3,-1.3,21,36,16,11,49,Matches
466,Tuta,br BRA,DF,Eint Frankfurt,22-259,1999,17.6,703,889,79.1,16097,5484,178,209,85.2,371,414,89.6,149,243,61.3,0,0.1,-0.1,3,51,2,2,45,Matches
467,Anthony Ujah,ng NGA,FWMF,Union Berlin,31-157,1990,0.4,5,9,55.6,71,0,4,5,80.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
468,Sven Ulreich,de GER,GK,Bayern Munich,33-229,1988,5.0,165,196,84.2,3670,2048,55,55,100.0,68,70,97.1,40,69,58.0,0,0.0,0.0,0,0,0,0,0,Matches
469,Dayot Upamecano,fr FRA,DF,Bayern Munich,23-144,1998,18.6,1529,1706,89.6,34516,10744,373,401,93.0,839,905,92.7,309,378,81.7,4,0.9,+3.1,7,139,6,0,108,Matches
470,Benjamin Uphoff,de GER,GK,Freiburg,28-224,1993,2.0,63,90,70.0,2345,1763,4,4,100.0,29,29,100.0,30,57,52.6,0,0.0,0.0,0,5,0,0,1,Matches
471,Mark Uth,de GER,FWMF,Köln,30-208,1991,15.2,339,487,69.6,7093,2067,139,176,79.0,123,163,75.5,75,122,61.5,3,3.4,-0.4,32,40,17,9,43,Matches
472,Ruben Vargas,ch SUI,MFFW,Augsburg,23-227,1998,19.0,363,518,70.1,6891,1724,158,200,79.0,139,187,74.3,55,87,63.2,3,2.1,+0.9,21,33,23,10,47,Matches
473,Sebastian Vasiliadis,gr GRE,MF,Arminia,24-167,1997,10.9,199,292,68.2,3700,1349,90,115,78.3,76,110,69.1,29,52,55.8,0,0.2,-0.2,6,26,3,0,29,Matches
474,Mickey van de Ven,nl NED,DF,Wolfsburg,20-335,2001,0.4,18,20,90.0,350,33,6,7,85.7,9,10,90.0,3,3,100.0,0,0.0,0.0,0,2,0,0,0,Matches
475,Vincent Vermeij,nl NED,MF,Freiburg,27-223,1994,0.0,2,3,66.7,34,0,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
476,Nick Viergever,nl NED,DF,Greuther Fürth,32-229,1989,16.7,528,673,78.5,11983,4591,111,130,85.4,305,341,89.4,103,189,54.5,0,0.3,-0.3,1,29,0,0,31,Matches
477,Andreas Voglsammer,de GER,FW,Union Berlin,30-070,1992,8.0,118,193,61.1,2054,625,59,91,64.8,40,62,64.5,14,23,60.9,1,0.9,+0.1,7,12,8,1,19,Matches
478,Kevin Vogt,de GER,DF,Hoffenheim,30-178,1991,22.5,1533,1736,88.3,35257,11923,389,419,92.8,788,833,94.6,347,463,74.9,2,0.4,+1.6,7,108,15,2,105,Matches
479,Aster Vranckx,be BEL,MF,Wolfsburg,19-167,2002,11.1,298,381,78.2,5545,1358,134,153,87.6,114,136,83.8,43,72,59.7,0,0.9,-0.9,10,23,9,2,19,Matches
480,Luca Waldschmidt,de GER,MFFW,Wolfsburg,25-305,1996,7.8,191,244,78.3,2979,802,103,125,82.4,70,86,81.4,12,16,75.0,0,0.5,-0.5,5,14,5,1,25,Matches
481,Paul Wanner,de GER,FWMF,Bayern Munich,16-087,2005,0.4,14,17,82.4,199,59,12,13,92.3,1,2,50.0,1,2,50.0,0,0.0,0.0,1,1,1,0,3,Matches
482,Wout Weghorst,nl NED,FW,Wolfsburg,29-225,1992,17.3,322,453,71.1,4704,777,196,255,76.9,91,134,67.9,22,31,71.0,1,1.5,-0.5,15,18,8,0,24,Matches
483,Noah Weißhaupt,de GER,MFFW,Freiburg,20-181,2001,0.7,20,24,83.3,387,151,9,11,81.8,7,7,100.0,3,4,75.0,0,0.1,-0.1,1,3,1,1,4,Matches
484,Silvan Widmer,ch SUI,DF,Mainz 05,29-015,1993,25.5,831,1160,71.6,14747,6835,378,441,85.7,356,483,73.7,84,204,41.2,4,2.3,+1.7,14,70,17,7,93,Matches
485,Jetro Willems,nl NED,DF,Greuther Fürth,27-355,1994,14.1,516,695,74.2,10483,5170,190,226,84.1,238,298,79.9,86,146,58.9,0,1.4,-1.4,11,36,15,7,61,Matches
486,Patrick Wimmer,at AUT,FWMF,Arminia,20-294,2001,16.9,317,549,57.7,5642,2300,146,216,67.6,119,192,62.0,42,90,46.7,6,3.1,+2.9,31,43,16,3,56,Matches
487,Jonas Wind,dk DEN,FW,Wolfsburg,23-041,1999,5.7,100,151,66.2,1461,469,59,81,72.8,31,47,66.0,6,10,60.0,0,0.4,-0.4,6,12,2,0,11,Matches
488,Frederik Winther,dk DEN,DF,Augsburg,21-075,2001,3.6,126,165,76.4,3012,1025,31,40,77.5,62,71,87.3,33,50,66.0,0,0.0,0.0,0,18,0,0,11,Matches
489,Florian Wirtz,de GER,MFFW,Leverkusen,18-321,2003,20.6,681,910,74.8,12105,3546,329,398,82.7,255,320,79.7,86,159,54.1,10,7.6,+2.4,56,63,48,3,102,Matches
490,Axel Witsel,be BEL,MFDF,Dortmund,33-067,1989,15.6,920,984,93.5,16967,3869,358,383,93.5,453,473,95.8,93,101,92.1,0,0.1,-0.1,3,59,4,1,44,Matches
491,Hannes Wolf,at AUT,FWMF,M'Gladbach,22-338,1999,3.4,74,105,70.5,1001,286,47,57,82.5,23,32,71.9,2,8,25.0,0,0.0,0.0,1,1,2,1,2,Matches
492,Marius Wolf,de GER,DFFW,Dortmund,26-297,1995,8.3,329,424,77.6,5331,1924,161,188,85.6,131,162,80.9,26,49,53.1,0,0.6,-0.6,6,23,8,1,43,Matches
493,Jeong Woo-yeong,kr KOR,FWMF,Freiburg,22-181,1999,16.7,391,531,73.6,5413,1602,246,291,84.5,108,158,68.4,18,38,47.4,0,1.4,-1.4,17,26,16,3,45,Matches
494,Joscha Wosz,de GER,DF,RB Leipzig,19-243,2002,0.1,3,4,75.0,51,9,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
495,Dan-Axel Zagadou,fr FRA,DF,Dortmund,22-290,1999,5.2,403,451,89.4,8412,2947,123,131,93.9,216,231,93.5,62,85,72.9,0,0.0,0.0,0,24,0,0,16,Matches
496,Denis Zakaria,ch SUI,MFDF,M'Gladbach,25-120,1996,15.5,737,818,90.1,13546,4013,298,321,92.8,338,366,92.3,86,106,81.1,1,0.3,+0.7,6,56,6,0,67,Matches
497,Deyovaisio Zeefuik,nl NED,DFMF,Hertha BSC,24-009,1998,6.3,198,258,76.7,3476,1066,97,112,86.6,83,107,77.6,17,34,50.0,0,0.4,-0.4,4,7,5,1,20,Matches
498,Robin Zentner,de GER,GK,Mainz 05,27-143,1994,26.0,555,784,70.8,15931,9081,124,126,98.4,229,230,99.6,194,419,46.3,0,0.0,0.0,0,20,1,0,0,Matches
499,Andi Zeqiri,ch SUI,FWMF,Augsburg,22-271,1999,10.5,107,163,65.6,1853,341,53,70,75.7,36,52,69.2,13,24,54.2,1,0.9,+0.1,9,7,3,1,9,Matches
500,Simon Zoller,de GER,FW,Bochum,30-267,1991,4.0,73,96,76.0,1239,196,34,39,87.2,26,34,76.5,9,15,60.0,2,0.7,+1.3,6,5,3,2,4,Matches
