,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,34-173,1987,24.1,966,1168,82.7,20761,7073,258,289,89.3,556,623,89.2,143,219,65.3,0,0.2,-0.2,6,61,4,0,61,Matches
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21-359,2000,22.9,1321,1433,92.2,24613,4160,527,560,94.1,616,649,94.9,159,187,85.0,0,0.9,-0.9,10,61,5,0,56,Matches
3,Laurent Abergel,fr FRA,MF,Lorient,29-047,1993,23.2,945,1158,81.6,18225,4720,372,418,89.0,408,462,88.3,148,220,67.3,2,2.1,-0.1,18,89,15,6,88,Matches
4,Charles Abi,fr FRA,FW,Saint-Étienne,21-342,2000,0.5,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
5,Matthis Abline,fr FRA,FW,Rennes,18-357,2003,1.1,8,10,80.0,100,22,4,6,66.7,4,4,100.0,0,0,,0,0.0,0.0,1,1,1,0,1,Matches
6,Martin Adeline,fr FRA,MFFW,Reims,18-108,2003,3.9,108,150,72.0,1863,564,44,55,80.0,49,61,80.3,9,17,52.9,0,0.4,-0.4,3,10,2,0,11,Matches
7,Yacine Adli,fr FRA,MFFW,Bordeaux,21-234,2000,21.2,758,1020,74.3,16179,5189,296,348,85.1,293,355,82.5,160,278,57.6,6,4.5,+1.5,50,95,28,4,117,Matches
8,Lucien Agoume,fr FRA,MF,Brest,20-039,2002,16.7,671,782,85.8,12499,3229,280,314,89.2,274,305,89.8,96,120,80.0,0,0.4,-0.4,10,47,10,0,59,Matches
9,Nayef Aguerd,ma MAR,DF,Rennes,25-355,1996,23.9,1486,1647,90.2,34195,11176,362,385,94.0,776,814,95.3,340,430,79.1,1,0.3,+0.7,2,83,2,0,61,Matches
10,Ruben Aguilar,fr FRA,DF,Monaco,28-328,1993,15.1,1001,1171,85.5,17725,6333,455,494,92.1,454,513,88.5,82,137,59.9,1,0.4,+0.6,8,86,20,6,89,Matches
11,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,22-359,1999,6.0,364,395,92.2,7488,2343,127,134,94.8,174,182,95.6,60,71,84.5,1,0.2,+0.8,4,19,2,1,22,Matches
12,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28-000,1994,6.5,219,264,83.0,3780,610,88,95,92.6,99,115,86.1,23,39,59.0,1,0.8,+0.2,4,11,4,1,15,Matches
13,Ludovic Ajorque,re REU,FW,Strasbourg,28-023,1994,23.2,525,719,73.0,7981,1165,298,374,79.7,149,206,72.3,45,70,64.3,7,3.6,+3.4,26,27,22,4,41,Matches
14,Maghnes Akliouche,fr FRA,MFFW,Monaco,20-023,2002,0.5,17,19,89.5,242,71,11,11,100.0,5,6,83.3,1,2,50.0,0,0.1,-0.1,1,1,2,0,3,Matches
15,Sofiane Alakouch,ma MAR,DFMF,Metz,23-234,1998,1.8,84,102,82.4,1278,378,48,51,94.1,32,38,84.2,2,5,40.0,0,0.0,0.0,1,5,0,0,4,Matches
16,Josué Albert,gf GUF,DF,Clermont Foot,30-058,1992,0.2,4,4,100.0,41,13,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
17,Doğan Alemdar,tr TUR,GK,Rennes,19-142,2002,5.0,97,135,71.9,3079,2076,17,17,100.0,41,43,95.3,37,73,50.7,0,0.0,0.0,0,0,0,0,0,Matches
18,Mohamed Ali Cho,fr FRA,FW,Angers,18-060,2004,15.8,162,225,72.0,2199,401,103,124,83.1,42,59,71.2,6,15,40.0,0,1.3,-1.3,8,9,7,2,13,Matches
19,Jim Allevinah,ga GAB,FW,Clermont Foot,27-021,1995,11.3,271,353,76.8,4242,778,158,186,84.9,83,109,76.1,21,38,55.3,2,1.7,+0.3,12,18,8,3,21,Matches
20,Ibrahim Amadou,fr FRA,DFMF,Metz,28-348,1993,5.9,255,292,87.3,5308,1374,78,82,95.1,139,150,92.7,36,53,67.9,0,0.0,0.0,1,6,0,0,6,Matches
21,Jordan Amavi,fr FRA,DF,Marseille,28-011,1994,1.4,76,88,86.4,1404,379,34,38,89.5,33,36,91.7,9,12,75.0,0,0.1,-0.1,1,6,2,1,7,Matches
22,Jordan Amavi,fr FRA,DF,Nice,28-011,1994,1.8,101,114,88.6,1822,631,48,49,98.0,37,43,86.0,13,15,86.7,0,0.0,0.0,0,6,0,0,8,Matches
23,Benjamin André,fr FRA,MF,Lille,31-229,1990,23.4,1101,1355,81.3,19746,5453,504,584,86.3,415,500,83.0,140,197,71.1,1,1.6,-0.6,13,102,14,1,112,Matches
24,Houssem Aouar,fr FRA,MFFW,Lyon,23-263,1998,20.5,874,1003,87.1,13691,3314,492,536,91.8,280,315,88.9,72,97,74.2,3,4.5,-1.5,25,89,24,2,82,Matches
25,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,19-248,2002,8.6,351,465,75.5,6470,1565,175,207,84.5,100,121,82.6,57,100,57.0,4,0.7,+3.3,12,33,6,2,29,Matches
26,Dennis Appiah,fr FRA,DF,Nantes,29-284,1992,17.8,594,782,76.0,11067,5230,255,293,87.0,256,321,79.8,78,139,56.1,0,0.3,-0.3,4,39,15,8,64,Matches
27,Lorenz Assignon,tg TOG,DF,Rennes,21-271,2000,6.1,283,355,79.7,5065,1290,124,145,85.5,121,140,86.4,29,49,59.2,0,0.5,-0.5,4,13,5,2,19,Matches
28,Youcef Atal,dz ALG,DF,Nice,25-307,1996,11.0,481,628,76.6,7853,2972,262,288,91.0,171,212,80.7,43,99,43.4,0,1.3,-1.3,10,25,17,7,39,Matches
29,Jean-Kévin Augustin,fr FRA,FWMF,Nantes,24-277,1997,0.5,13,16,81.3,167,22,9,10,90.0,2,4,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
30,Karim Azamoum,fr FRA,DF,Troyes,32-062,1990,4.3,108,145,74.5,2155,843,38,43,88.4,53,65,81.5,16,34,47.1,0,0.0,0.0,0,2,0,0,3,Matches
31,Loïc Bade,fr FRA,DF,Rennes,21-343,2000,10.9,651,707,92.1,15351,4096,149,159,93.7,340,362,93.9,160,184,87.0,1,0.1,+0.9,1,40,2,1,32,Matches
32,Benoît Badiashile,fr FRA,DF,Monaco,20-359,2001,10.4,724,817,88.6,15377,4603,184,199,92.5,422,453,93.2,113,155,72.9,0,0.0,0.0,0,55,1,0,60,Matches
33,Youssouph Badji,sn SEN,FW,Brest,20-090,2001,1.5,26,38,68.4,273,52,19,24,79.2,4,9,44.4,0,0,,0,0.2,-0.2,2,3,0,0,0,Matches
34,Stéphane Bahoken,cm CMR,FW,Angers,29-296,1992,7.2,70,94,74.5,934,105,42,52,80.8,17,22,77.3,5,7,71.4,0,0.1,-0.1,2,2,2,2,1,Matches
35,Dénys Bain,fr FRA,DF,Brest,28-261,1993,2.0,79,82,96.3,1740,556,20,21,95.2,42,43,97.7,16,17,94.1,0,0.0,0.0,0,3,0,0,5,Matches
36,Stefan Bajic,fr FRA,GK,Saint-Étienne,20-087,2001,5.7,130,185,70.3,3777,2594,35,36,97.2,47,47,100.0,47,101,46.5,0,0.0,0.0,0,1,0,0,0,Matches
37,Cédric Bakambu,cd COD,FW,Marseille,30-343,1991,2.7,34,42,81.0,529,139,21,25,84.0,7,10,70.0,5,5,100.0,0,0.5,-0.5,5,0,2,0,4,Matches
38,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,19-095,2002,2.0,61,81,75.3,1031,387,24,26,92.3,28,31,90.3,6,19,31.6,0,0.0,0.0,0,2,0,0,1,Matches
39,Dilane Bakwa,fr FRA,FW,Bordeaux,19-206,2002,0.1,4,6,66.7,79,29,2,2,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Matches
40,Ibrahima Baldé,fr FRA,FWMF,Lens,19-062,2003,0.6,6,8,75.0,65,0,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
41,Leonardo Balerdi,ar ARG,DF,Marseille,23-053,1999,10.5,744,805,92.4,15366,3963,242,253,95.7,381,397,96.0,116,145,80.0,0,0.0,0.0,1,35,0,0,29,Matches
42,Jonathan Bamba,fr FRA,MFFW,Lille,25-359,1996,20.5,635,836,76.0,10272,3448,369,440,83.9,176,207,85.0,67,130,51.5,1,2.4,-1.4,32,49,29,9,75,Matches
43,Simon Banza,fr FRA,FW,Lens,25-219,1996,1.4,20,29,69.0,369,77,11,16,68.8,6,7,85.7,2,4,50.0,1,0.6,+0.4,2,2,0,0,1,Matches
44,Danilo Barbosa,br BRA,DF,Nice,26-020,1996,1.0,33,41,80.5,677,148,8,9,88.9,20,22,90.9,5,9,55.6,0,0.0,0.0,0,0,0,0,1,Matches
45,Bradley Barcola,fr FRA,MFFW,Lyon,19-199,2002,0.2,7,7,100.0,59,22,6,6,100.0,0,0,,0,0,,0,0.2,-0.2,1,0,0,0,0,Matches
46,Melvin Bard,fr FRA,DF,Nice,21-134,2000,21.8,1174,1435,81.8,20803,7845,526,577,91.2,521,617,84.4,110,192,57.3,2,1.8,+0.2,15,88,18,8,103,Matches
47,Toma Bašić,hr CRO,MF,Bordeaux,25-115,1996,2.3,74,101,73.3,1460,379,29,32,90.6,33,38,86.8,11,28,39.3,1,0.6,+0.4,5,9,1,1,5,Matches
48,Amine Bassi,fr FRA,MF,Metz,24-113,1997,2.0,84,117,71.8,1551,533,38,49,77.6,35,40,87.5,10,23,43.5,0,0.4,-0.4,6,10,0,0,10,Matches
49,Mohamed Bayo,gn GUI,FW,Clermont Foot,23-289,1998,19.4,293,403,72.7,4432,776,163,215,75.8,103,133,77.4,19,25,76.0,2,2.4,-0.4,20,25,10,0,29,Matches
50,Youcef Belaïli,dz ALG,MF,Brest,30-006,1992,3.4,106,145,73.1,1799,469,59,67,88.1,28,33,84.8,15,33,45.5,1,0.6,+0.4,3,11,4,0,12,Matches
51,Haris Belkebla,dz ALG,MF,Brest,28-051,1994,17.1,501,609,82.3,9193,2169,212,241,88.0,212,249,85.1,63,87,72.4,0,0.1,-0.1,5,32,5,3,35,Matches
52,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,23-266,1998,18.2,622,759,81.9,11009,2019,289,322,89.8,253,298,84.9,68,108,63.0,2,0.7,+1.3,11,44,14,3,47,Matches
53,Hatem Ben Arfa,fr FRA,FWMF,Lille,35-013,1987,3.3,126,144,87.5,2124,334,55,60,91.7,47,54,87.0,15,20,75.0,1,0.4,+0.6,4,4,4,1,6,Matches
54,Wissam Ben Yedder,fr FRA,FW,Monaco,31-220,1990,19.4,376,508,74.0,5654,992,206,257,80.2,128,171,74.9,28,48,58.3,4,3.6,+0.4,24,23,23,0,40,Matches
55,Darío Benedetto,ar ARG,FWMF,Marseille,31-307,1990,0.6,10,11,90.9,160,35,6,7,85.7,3,3,100.0,1,1,100.0,0,0.0,0.0,1,0,0,0,1,Matches
56,Walter Benítez,ar ARG,GK,Nice,29-001,1993,27.0,547,756,72.4,15994,10898,121,121,100.0,229,231,99.1,195,401,48.6,0,0.0,0.0,0,1,0,0,0,Matches
57,Loris Benito,ch SUI,DF,Bordeaux,30-072,1992,0.7,42,53,79.2,836,259,14,18,77.8,20,21,95.2,7,12,58.3,0,0.0,0.0,0,0,0,0,4,Matches
58,Nabil Bentaleb,dz ALG,MF,Angers,27-116,1994,8.0,341,411,83.0,6343,1666,151,169,89.3,135,158,85.4,46,66,69.7,0,0.0,0.0,1,30,2,0,32,Matches
59,Patrick Berg,no NOR,MF,Lens,24-116,1997,1.9,122,143,85.3,2151,415,64,69,92.8,43,51,84.3,14,19,73.7,0,0.0,0.0,1,8,0,0,10,Matches
60,Mitchell van Bergen,nl NED,FWMF,Reims,22-205,1999,7.9,118,179,65.9,1866,547,63,79,79.7,33,44,75.0,18,42,42.9,0,1.1,-1.1,13,0,9,3,9,Matches
61,Valon Berisha,xk KVX,MFFW,Reims,29-041,1993,3.8,103,150,68.7,2075,670,51,65,78.5,28,39,71.8,20,40,50.0,1,0.4,+0.6,5,11,2,1,12,Matches
62,Paul Bernardoni,fr FRA,GK,Angers,24-336,1997,13.0,263,337,78.0,7909,4249,46,46,100.0,109,113,96.5,107,177,60.5,0,0.0,0.0,0,0,0,0,0,Matches
63,Paul Bernardoni,fr FRA,GK,Saint-Étienne,24-336,1997,10.0,176,300,58.7,5439,3416,23,23,100.0,79,80,98.8,74,197,37.6,0,0.0,0.0,0,1,0,0,0,Matches
64,Juan Bernat,es ESP,DF,Paris S-G,29-019,1993,8.0,487,531,91.7,6849,1740,296,315,94.0,165,179,92.2,15,21,71.4,0,0.5,-0.5,4,29,4,1,22,Matches
65,Dimitry Bertaud,fr FRA,GK,Montpellier,23-287,1998,5.2,125,181,69.1,4078,2846,27,27,100.0,47,47,100.0,51,107,47.7,0,0.0,0.0,0,1,1,0,0,Matches
66,Jason Berthomier,fr FRA,MF,Clermont Foot,32-073,1990,18.3,1090,1337,81.5,19362,5241,553,604,91.6,388,444,87.4,135,246,54.9,5,4.0,+1.0,46,93,20,8,98,Matches
67,Giulian Biancone,fr FRA,DF,Troyes,21-354,2000,17.6,665,917,72.5,11931,5069,300,362,82.9,282,375,75.2,71,147,48.3,2,0.9,+1.1,13,40,17,12,65,Matches
68,El Bilal Touré,ml MLI,FW,Reims,20-168,2001,9.3,169,233,72.5,2201,304,110,138,79.7,48,67,71.6,2,9,22.2,2,0.7,+1.3,8,10,4,1,7,Matches
69,Jean-Claude Billong,cm CMR,DF,Clermont Foot,28-082,1993,4.8,200,230,87.0,3900,1147,71,79,89.9,104,115,90.4,23,31,74.2,0,0.0,0.0,0,8,0,0,6,Matches
70,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,19-100,2002,0.1,10,10,100.0,129,28,7,7,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
71,Marco Bizot,nl NED,GK,Brest,31-010,1991,28.0,606,872,69.5,22101,14941,59,59,100.0,252,254,99.2,294,558,52.7,1,0.3,+0.7,3,9,0,0,0,Matches
72,Ludovic Blas,fr FRA,MFFW,Nantes,24-079,1997,25.6,616,781,78.9,12581,2704,219,266,82.3,286,339,84.4,99,132,75.0,2,2.1,-0.1,25,76,21,4,67,Matches
73,Myron Boadu,nl NED,FW,Monaco,21-065,2001,8.0,99,126,78.6,1438,204,57,70,81.4,35,39,89.7,4,8,50.0,1,0.2,+0.8,3,1,1,0,5,Matches
74,Jérôme Boateng,de GER,DF,Lyon,33-198,1988,15.1,854,969,88.1,20300,6159,171,183,93.4,487,512,95.1,194,268,72.4,1,1.1,-0.1,5,69,5,1,66,Matches
75,Antonin Bobichon,fr FRA,MFFW,Angers,26-187,1995,0.4,16,20,80.0,254,84,9,10,90.0,5,6,83.3,2,3,66.7,0,0.0,0.0,0,5,0,0,0,Matches
76,Quentin Boisgard,fr FRA,MF,Lorient,25-003,1997,8.6,241,327,73.7,4246,1209,123,147,83.7,79,94,84.0,30,62,48.4,0,1.9,-1.9,10,24,7,3,16,Matches
77,Charles Boli,fr FRA,MF,Lens,23-202,1998,0.4,17,21,81.0,285,70,11,13,84.6,4,4,100.0,2,4,50.0,0,0.0,0.0,1,2,0,0,1,Matches
78,Sven Botman,nl NED,DF,Lille,22-067,2000,21.0,1116,1253,89.1,23699,7797,367,396,92.7,539,577,93.4,201,258,77.9,1,0.3,+0.7,7,60,1,0,61,Matches
79,Denis Bouanga,ga GAB,FWMF,Saint-Étienne,27-129,1994,18.2,375,546,68.7,6247,1736,210,254,82.7,110,169,65.1,37,79,46.8,2,1.9,+0.1,17,24,14,5,46,Matches
80,Hicham Boudaoui,dz ALG,MF,Nice,22-178,1999,14.0,369,484,76.2,5368,1216,214,253,84.6,121,159,76.1,18,39,46.2,1,2.4,-1.4,10,27,10,3,29,Matches
81,Ryad Boudebouz,dz ALG,MFFW,Saint-Étienne,32-029,1990,19.2,1009,1270,79.4,20023,4930,399,452,88.3,397,467,85.0,184,289,63.7,1,3.3,-2.3,37,91,25,3,103,Matches
82,Sofiane Boufal,ma MAR,FW,Angers,28-184,1993,21.9,655,864,75.8,11514,3431,325,387,84.0,212,254,83.5,90,164,54.9,4,5.1,-1.1,48,47,32,4,81,Matches
83,Farid Boulaya,dz ALG,FWMF,Metz,29-023,1993,13.5,378,574,65.9,7724,2336,165,209,78.9,135,185,73.0,74,154,48.1,1,1.9,-0.9,25,42,11,4,43,Matches
84,Ismaëlben Boura,fr FRA,DF,Lens,21-218,2000,1.1,60,72,83.3,1029,382,27,29,93.1,23,26,88.5,7,14,50.0,0,0.0,0.0,0,2,1,0,2,Matches
85,Benjamin Bourigeaud,fr FRA,MFFW,Rennes,28-065,1994,26.1,977,1360,71.8,20387,7216,359,432,83.1,414,501,82.6,194,364,53.3,7,9.4,-2.4,89,91,60,21,146,Matches
86,Redwan Bourles,fr FRA,MFFW,Lorient,19-077,2003,0.2,3,5,60.0,27,9,3,5,60.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
87,Domagoj Bradarić,hr CRO,DFMF,Lille,22-100,1999,2.0,77,102,75.5,1321,458,34,41,82.9,35,43,81.4,6,15,40.0,0,0.2,-0.2,2,8,1,1,8,Matches
88,Bilal Brahimi,fr FRA,MFFW,Nice,22-006,2000,0.8,19,31,61.3,241,25,11,15,73.3,7,11,63.6,0,1,0.0,0,0.0,0.0,1,0,1,0,1,Matches
89,Bilal Brahimi,fr FRA,FWDF,Angers,22-006,2000,3.8,72,99,72.7,1142,327,34,41,82.9,32,40,80.0,4,10,40.0,1,0.7,+0.3,7,2,4,3,4,Matches
90,Lilian Brassier,fr FRA,DF,Brest,22-138,1999,18.1,760,908,83.7,18243,5840,177,198,89.4,373,409,91.2,204,284,71.8,0,0.2,-0.2,3,59,7,1,58,Matches
91,Jimmy Briand,fr FRA,FWMF,Bordeaux,36-230,1985,2.0,58,65,89.2,785,164,37,39,94.9,15,18,83.3,3,4,75.0,1,0.6,+0.4,9,2,3,0,5,Matches
92,Dylan Bronn,tn TUN,DF,Metz,26-274,1995,22.0,779,937,83.1,17529,6236,213,239,89.1,408,445,91.7,151,234,64.5,1,0.1,+0.9,2,51,2,1,48,Matches
93,Osman Bukari,gh GHA,FWMF,Nantes,23-097,1998,9.2,206,274,75.2,2817,642,129,152,84.9,59,80,73.8,7,21,33.3,3,1.7,+1.3,17,7,5,2,15,Matches
94,Maxime Busi,be BEL,DF,Reims,22-157,1999,7.3,274,336,81.5,5139,1987,118,129,91.5,118,139,84.9,34,57,59.6,0,0.4,-0.4,6,18,5,2,23,Matches
95,Oriol Busquets,es ESP,MF,Clermont Foot,23-059,1999,0.9,55,61,90.2,1081,212,23,25,92.0,19,22,86.4,13,14,92.9,0,0.1,-0.1,1,2,0,0,0,Matches
96,Marcin Bułka,pl POL,GK,Nice,22-167,1999,1.0,21,23,91.3,444,269,8,9,88.9,10,10,100.0,3,4,75.0,0,0.0,0.0,0,0,0,0,0,Matches
97,Jimmy Cabot,fr FRA,DF,Angers,27-336,1994,22.3,1090,1374,79.3,20873,5941,453,510,88.8,501,593,84.5,127,228,55.7,5,2.4,+2.6,20,55,26,9,79,Matches
98,Anthony Caci,fr FRA,DF,Strasbourg,24-262,1997,20.1,1005,1275,78.8,20547,7755,371,425,87.3,441,533,82.7,177,274,64.6,3,2.6,+0.4,19,89,27,11,140,Matches
99,Mathieu Cafaro,fr FRA,FWMF,Reims,24-360,1997,2.1,41,79,51.9,777,299,16,26,61.5,19,31,61.3,6,22,27.3,0,0.3,-0.3,3,0,5,2,5,Matches
100,Yannick Cahuzac,fr FRA,MF,Lens,37-061,1985,6.7,214,245,87.3,3595,736,99,110,90.0,90,98,91.8,19,25,76.0,0,0.1,-0.1,1,17,2,0,17,Matches
101,Marc-Aurèle Caillard,fr FRA,GK,Metz,27-312,1994,10.0,158,258,61.2,6421,4771,16,16,100.0,57,57,100.0,85,185,45.9,0,0.0,0.0,0,5,0,0,0,Matches
102,Jens Cajuste,se SWE,MF,Reims,22-222,1999,1.5,37,45,82.2,633,104,17,20,85.0,14,16,87.5,4,6,66.7,0,0.0,0.0,0,0,1,0,2,Matches
103,Duje Ćaleta-Car,hr CRO,DF,Marseille,25-184,1996,15.5,1127,1223,92.2,25181,6955,292,298,98.0,621,648,95.8,206,262,78.6,0,0.2,-0.2,2,71,3,0,56,Matches
104,Lucas Calodat,fr FRA,DF,Saint-Étienne,20-042,2002,0.0,2,2,100.0,30,7,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
105,Mahdi Camara,fr FRA,MFDF,Saint-Étienne,23-263,1998,26.1,1036,1222,84.8,16390,4549,538,593,90.7,387,445,87.0,72,116,62.1,0,1.5,-1.5,26,80,9,4,63,Matches
106,Mamadou Camara,fr FRA,FW,Troyes,21-041,2001,0.4,8,10,80.0,147,2,2,3,66.7,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
107,Eduardo Camavinga,fr FRA,MF,Rennes,19-130,2002,1.6,68,75,90.7,1471,238,20,26,76.9,33,34,97.1,14,14,100.0,0,0.0,0.0,1,5,1,0,3,Matches
108,Fali Candé,gw GNB,DF,Metz,24-055,1998,6.0,213,290,73.4,4200,1609,84,96,87.5,98,122,80.3,29,62,46.8,1,1.0,0.0,5,7,2,2,13,Matches
109,Pierrick Capelle,fr FRA,MFDF,Angers,34-339,1987,8.3,325,392,82.9,6256,1759,119,141,84.4,159,180,88.3,43,56,76.8,1,0.6,+0.4,7,24,3,2,26,Matches
110,Maxence Caqueret,fr FRA,MF,Lyon,22-033,2000,23.6,1205,1395,86.4,20478,5648,598,675,88.6,450,495,90.9,121,161,75.2,0,1.7,-1.7,26,131,15,1,125,Matches
111,Irvin Cardona,fr FRA,FW,Brest,24-224,1997,10.3,143,210,68.1,2087,505,85,109,78.0,43,60,71.7,10,27,37.0,1,0.9,+0.1,9,7,2,0,11,Matches
112,Igor Carioca,br BRA,DF,Lorient,25-211,1996,15.0,494,652,75.8,8717,3035,224,268,83.6,216,274,78.8,45,75,60.0,0,1.1,-1.1,11,28,11,8,41,Matches
113,Moreto Cassamã,gw GNB,MF,Reims,24-032,1998,8.9,355,433,82.0,7288,1743,136,155,87.7,149,164,90.9,65,97,67.0,0,0.7,-0.7,9,38,7,0,39,Matches
114,Jean-Charles Castelletto,cm CMR,DF,Nantes,27-053,1995,20.9,746,853,87.5,15485,5315,242,261,92.7,379,415,91.3,115,162,71.0,0,0.1,-0.1,4,66,2,0,54,Matches
115,Zeki Çelik,tr TUR,DF,Lille,25-031,1997,21.2,948,1194,79.4,16670,6605,457,506,90.3,378,455,83.1,97,187,51.9,1,1.3,-0.3,12,83,21,7,89,Matches
