,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,2,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,,Matches
2,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,2250,25.0,43,1.72,96,55,57.3,7,5,13,5,20.0,2,2,0,0,0.0,Matches
3,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,3420,38.0,22,0.58,97,75,77.3,30,7,1,21,55.3,1,0,0,1,,Matches
4,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,1170,13.0,17,1.31,74,58,78.4,2,2,9,1,7.7,1,1,0,0,0.0,Matches
5,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,1170,13.0,22,1.69,57,38,64.9,3,5,5,2,15.4,2,2,0,0,0.0,Matches
6,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,11.0,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,,Matches
7,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,21,1890,21.0,17,0.81,63,51,79.4,16,3,2,11,52.4,4,4,0,0,0.0,Matches
8,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36,36,3240,36.0,39,1.08,119,79,68.1,20,8,8,14,38.9,2,1,1,0,50.0,Matches
9,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32,32,2880,32.0,45,1.41,164,124,73.8,7,12,13,9,28.1,4,2,1,1,33.3,Matches
10,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36,36,3240,36.0,51,1.42,142,98,69.0,14,7,15,11,30.6,8,7,1,0,12.5,Matches
11,Francesco Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3,3,270,3.0,5,1.67,11,6,54.5,0,1,2,1,33.3,0,0,0,0,,Matches
12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33,33,2970,33.0,51,1.55,159,114,71.7,12,12,9,5,15.2,7,6,1,0,14.3,Matches
13,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,31,1987,24,24,2160,24.0,47,1.96,103,58,56.3,8,3,13,5,20.8,2,2,0,0,0.0,Matches
14,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,34,1983,23,22,2057,22.9,38,1.66,94,60,62.8,4,6,12,4,18.2,5,3,2,0,40.0,Matches
15,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,25,1993,35,35,3150,35.0,29,0.83,141,115,80.9,15,10,10,16,45.7,5,2,3,0,60.0,Matches
16,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,29,1989,18,18,1620,18.0,25,1.39,64,43,62.5,9,3,6,5,27.8,2,1,0,1,0.0,Matches
17,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,21,1997,38,38,3420,38.0,58,1.53,177,122,69.5,15,8,15,10,26.3,5,4,1,0,20.0,Matches
18,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,20,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
19,Marcus Bettinelli,eng ENG,GK,Fulham,eng Premier League,26,1992,7,7,630,7.0,20,2.86,38,18,50.0,1,2,4,0,0.0,3,1,1,1,50.0,Matches
20,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,23,1995,25,25,2250,25.0,40,1.60,106,70,66.0,7,6,12,6,24.0,5,4,0,1,0.0,Matches
21,Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,38,1980,12,12,1080,12.0,18,1.50,53,36,71.7,4,3,5,4,33.3,3,3,0,0,0.0,Matches
22,Zacharie Boucher,fr FRA,GK,Angers,fr Ligue 1,26,1992,2,2,180,2.0,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,,Matches
23,Yassine Bounou,ma MAR,GK,Girona,es La Liga,27,1991,32,32,2862,31.8,43,1.35,162,126,77.2,8,10,14,8,25.0,6,6,0,0,0.0,Matches
24,Fabian Bredlow,de GER,GK,Nürnberg,de Bundesliga,23,1995,14,12,1127,12.5,28,2.24,60,32,55.0,2,3,7,2,16.7,3,1,1,1,50.0,Matches
25,Gianluigi Buffon,it ITA,GK,Paris S-G,fr Ligue 1,40,1978,17,17,1530,17.0,18,1.06,61,47,72.1,13,1,3,6,35.3,2,1,1,0,50.0,Matches
26,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,27,1990,32,32,2880,32.0,40,1.25,125,88,71.2,21,7,4,10,31.3,4,4,0,0,0.0,Matches
27,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,35,1983,36,36,3239,36.0,48,1.33,156,112,71.2,9,15,12,12,33.3,5,3,2,0,40.0,Matches
28,David Button,eng ENG,GK,Brighton,eng Premier League,29,1989,4,4,360,4.0,5,1.25,16,12,81.3,1,1,2,1,25.0,2,2,0,0,0.0,Matches
29,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,36,1981,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,,Matches
30,Rafael Cabral,br BRA,GK,Sampdoria,it Serie A,28,1990,2,2,180,2.0,0,0.00,2,2,100.0,1,1,0,2,100.0,0,0,0,0,,Matches
31,Marc-Aurèle Caillard,fr FRA,GK,Guingamp,fr Ligue 1,24,1994,21,21,1890,21.0,34,1.62,90,56,63.3,4,7,10,6,28.6,2,1,1,0,50.0,Matches
32,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,24,1994,3,3,270,3.0,6,2.00,12,7,58.3,0,1,2,0,0.0,1,1,0,0,0.0,Matches
33,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,26,1992,26,26,2295,25.5,39,1.53,121,86,71.1,11,6,9,8,30.8,5,4,1,0,20.0,Matches
34,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,36,1982,7,7,585,6.5,9,1.38,35,26,74.3,5,0,2,2,28.6,0,0,0,0,,Matches
35,Leandro Chichizola,ar ARG,GK,Getafe,es La Liga,28,1990,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,,Matches
36,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,29,1989,3,3,270,3.0,4,1.33,13,10,76.9,1,1,1,1,33.3,1,1,0,0,0.0,Matches
37,Joel Coleman,eng ENG,GK,Huddersfield,eng Premier League,22,1995,1,1,90,1.0,1,1.00,3,1,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
38,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,31,1987,36,36,3213,35.7,56,1.57,144,94,63.9,9,15,12,12,33.3,8,4,3,1,42.9,Matches
39,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,31,1987,37,37,3330,37.0,42,1.14,146,110,75.3,9,11,17,10,27.0,7,6,1,0,14.3,Matches
40,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,26,1992,27,27,2430,27.0,36,1.33,100,70,70.0,14,3,10,8,29.6,8,6,1,1,14.3,Matches
41,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,24,1994,38,38,3420,38.0,54,1.42,195,147,76.4,10,11,17,7,18.4,10,8,2,0,20.0,Matches
42,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,34,1984,34,34,3056,33.9,38,1.12,111,76,67.6,10,12,12,10,29.4,2,2,0,0,0.0,Matches
43,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,6,6,495,5.5,4,0.73,18,15,83.3,3,2,1,2,33.3,1,1,0,0,0.0,Matches
44,Javier Díaz,es ESP,GK,Sevilla,es La Liga,21,1997,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0,Matches
45,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21,21,1890,21.0,35,1.67,91,62,68.1,5,4,12,3,14.3,7,6,1,0,14.3,Matches
46,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,26,1992,24,24,2160,24.0,30,1.25,81,54,66.7,9,6,9,5,20.8,4,3,1,0,25.0,Matches
47,Jaume Doménech,es ESP,GK,Valencia,es La Liga,27,1990,4,4,360,4.0,1,0.25,12,10,91.7,2,2,0,3,75.0,0,0,0,0,,Matches
48,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,19,1999,36,36,3092,34.3,31,0.90,121,94,76.9,18,11,7,11,30.6,4,3,1,0,25.0,Matches
49,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,20,1997,3,2,225,2.5,2,0.80,7,5,71.4,0,1,1,1,50.0,0,0,0,0,,Matches
50,Bartłomiej Drągowski,pl POL,GK,Empoli,it Serie A,20,1997,14,14,1260,14.0,24,1.71,91,70,76.9,5,2,7,3,21.4,4,3,1,0,25.0,Matches
51,Jaroslav Drobný,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,0,0.0,0,0,0,0,,Matches
52,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38,38,3420,38.0,48,1.26,133,92,68.4,12,9,17,11,28.9,6,6,0,0,0.0,Matches
53,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,25,1993,11,10,939,10.4,17,1.63,31,16,51.6,5,3,2,1,10.0,3,2,1,0,33.3,Matches
54,Ederson,br BRA,GK,Manchester City,eng Premier League,24,1993,38,38,3420,38.0,23,0.61,79,60,75.9,32,2,4,20,52.6,4,4,0,0,0.0,Matches
55,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32,32,2880,32.0,67,2.09,209,149,70.3,5,6,21,5,15.6,6,5,1,0,16.7,Matches
56,Neil Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38,38,3420,38.0,69,1.82,200,134,67.5,10,4,24,10,26.3,7,4,3,0,42.9,Matches
57,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,33,1985,38,38,3420,38.0,55,1.45,192,138,73.4,15,7,16,7,18.4,5,4,1,0,20.0,Matches
58,Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2,2,180,2.0,5,2.50,22,16,77.3,0,0,2,0,0.0,0,0,0,0,,Matches
59,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,17,16,1469,16.3,26,1.59,80,57,70.0,4,3,9,3,18.8,2,2,0,0,0.0,Matches
60,Aitor Fernández,es ESP,GK,Levante,es La Liga,27,1991,16,16,1440,16.0,24,1.50,74,56,73.0,4,5,7,2,12.5,4,4,0,0,0.0,Matches
61,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,31,1986,6,6,540,6.0,7,1.17,22,16,72.7,3,2,1,2,33.3,1,1,0,0,0.0,Matches
62,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
63,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
64,Ben Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38,38,3420,38.0,59,1.55,171,115,67.8,14,8,16,7,18.4,5,4,1,0,20.0,Matches
65,Pierluigi Frattali,it ITA,GK,Parma,it Serie A,32,1985,1,1,90,1.0,2,2.00,9,7,77.8,0,0,1,0,0.0,0,0,0,0,,Matches
66,Alberto García,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17,17,1530,17.0,35,2.06,83,51,59.0,3,4,10,4,23.5,4,1,3,0,75.0,Matches
67,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,26,1992,3,3,270,3.0,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,0,,Matches
68,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,27,1990,38,38,3420,38.0,54,1.42,170,125,71.8,19,9,10,7,18.4,6,6,0,0,0.0,Matches
69,Fabian Giefer,de GER,GK,Augsburg,de Bundesliga,28,1990,4,4,360,4.0,7,1.75,18,11,61.1,1,1,2,0,0.0,0,0,0,0,,Matches
70,Mauro Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,30,1988,8,7,712,7.9,12,1.52,35,24,68.6,2,3,2,3,42.9,1,1,0,0,0.0,Matches
71,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,23,1995,20,20,1800,20.0,21,1.05,68,50,73.5,11,6,3,4,20.0,3,3,0,0,0.0,Matches
72,Alfred Gomis,sn SEN,GK,SPAL,it Serie A,24,1993,20,19,1723,19.2,27,1.41,76,50,65.8,3,6,10,6,31.6,1,1,0,0,0.0,Matches
73,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,27,1990,4,4,360,4.0,5,1.25,15,10,66.7,3,0,1,1,25.0,0,0,0,0,,Matches
74,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,31,1987,20,20,1755,19.5,23,1.18,84,60,73.8,10,4,6,7,35.0,1,1,0,0,0.0,Matches
75,Guido Guerrieri,it ITA,GK,Lazio,it Serie A,22,1996,1,1,90,1.0,3,3.00,5,2,40.0,0,1,0,0,0.0,0,0,0,0,,Matches
76,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,28,1990,33,33,2925,32.5,28,0.86,108,86,77.8,19,9,5,16,48.5,5,4,0,1,0.0,Matches
77,Angus Gunn,eng ENG,GK,Southampton,eng Premier League,22,1996,12,12,1080,12.0,18,1.50,48,30,62.5,4,4,4,3,25.0,1,0,1,0,100.0,Matches
78,Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,31,1986,38,38,3420,38.0,52,1.37,155,109,70.3,9,11,18,11,28.9,9,6,2,1,25.0,Matches
79,Ben Hamer,eng ENG,GK,Huddersfield,eng Premier League,30,1987,7,7,553,6.1,21,3.42,38,21,52.6,0,1,6,1,14.3,3,3,0,0,0.0,Matches
80,Samir Handanović,si SVN,GK,Inter,it Serie A,34,1984,38,38,3420,38.0,33,0.87,128,101,76.6,20,9,9,17,44.7,5,3,0,2,0.0,Matches
81,Joe Hart,eng ENG,GK,Burnley,eng Premier League,31,1987,19,19,1710,19.0,41,2.16,115,73,65.2,3,3,13,4,21.1,2,1,1,0,50.0,Matches
82,Tom Heaton,eng ENG,GK,Burnley,eng Premier League,32,1986,19,19,1710,19.0,27,1.42,81,57,67.9,8,4,7,4,21.1,1,1,0,0,0.0,Matches
83,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,31,1987,18,17,1575,17.5,26,1.49,65,42,64.6,4,3,10,5,29.4,4,3,1,0,25.0,Matches
84,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,30,1988,31,31,2790,31.0,32,1.03,85,56,65.9,12,10,9,10,32.3,3,3,0,0,0.0,Matches
85,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,30,1987,2,2,180,2.0,4,2.00,5,1,20.0,2,0,0,0,0.0,1,0,0,1,,Matches
86,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,28,1989,32,32,2880,32.0,49,1.53,125,83,63.2,18,4,10,9,28.1,4,3,1,0,25.0,Matches
87,Salvador Ichazo,uy URU,GK,Torino,it Serie A,26,1992,3,2,250,2.8,2,0.72,8,7,87.5,1,1,0,1,50.0,1,1,0,0,0.0,Matches
88,Gorka Iraizoz,es ESP,GK,Girona,es La Liga,37,1981,7,6,558,6.2,10,1.61,36,29,77.8,1,0,5,1,16.7,2,2,0,0,0.0,Matches
89,Jandrei,br BRA,GK,Genoa,it Serie A,25,1993,1,1,90,1.0,1,1.00,2,0,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
90,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,33,1984,31,31,2745,30.5,48,1.57,141,96,67.4,9,10,12,8,25.8,4,2,1,1,33.3,Matches
91,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,28,1990,17,17,1530,17.0,34,2.00,73,41,56.2,1,5,11,4,23.5,4,2,1,1,33.3,Matches
92,Aleksandar Jovanović,rs SRB,GK,Huesca,es La Liga,25,1992,12,12,1080,12.0,19,1.58,43,27,60.5,1,4,7,0,0.0,2,2,0,0,0.0,Matches
93,Stefanos Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,24,1994,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
94,Orestis Karnezis,gr GRE,GK,Napoli,it Serie A,33,1985,9,9,810,9.0,7,0.78,25,19,76.0,6,2,1,4,44.4,1,1,0,0,0.0,Matches
95,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,35,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
96,Gregor Kobel,ch SUI,GK,Hoffenheim,de Bundesliga,20,1997,1,1,90,1.0,1,1.00,6,6,100.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches
97,Gregor Kobel,ch SUI,GK,Augsburg,de Bundesliga,20,1997,16,16,1390,15.4,42,2.72,85,44,51.8,4,2,10,3,18.8,2,1,1,0,50.0,Matches
98,Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,25,1992,33,32,2925,32.5,48,1.48,134,90,66.4,10,11,11,9,28.1,4,3,1,0,25.0,Matches
99,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,30,1988,4,3,315,3.5,9,2.57,13,6,46.2,2,0,1,1,33.3,2,2,0,0,0.0,Matches
